,UserId,SurveyId,ANS_Q1,ANS_Q2,ANS_Q3,ANS_Q4
189,39755,3,,,,
190,39825,2,,-1.0,6.0,
191,40188,3,,,,
192,40300,1,8.0,-1.0,,
193,40308,2,,2.0,-1.0,
194,40331,2,,-1.0,5.0,
195,40592,1,7.0,-1.0,,
196,41302,3,,,,
197,41549,2,,-1.0,3.0,
198,42049,2,,-1.0,7.0,
199,42175,3,,,,
200,42227,2,,1.0,-1.0,
201,42393,2,,0.0,-1.0,
202,42469,1,7.0,-1.0,,
203,42760,1,2.0,-1.0,,
204,43022,2,,-1.0,3.0,
205,43477,3,,,,
206,43951,1,3.0,-1.0,,
207,44003,1,-1.0,9.0,,
208,44091,2,,-1.0,3.0,
209,44108,1,-1.0,5.0,,
210,44138,2,,9.0,-1.0,
211,44355,3,,,,
212,44504,1,-1.0,5.0,,
213,44543,2,,-1.0,4.0,
214,44561,1,-1.0,4.0,,
215,44607,3,,,,
216,44634,3,,,,
217,44796,1,5.0,-1.0,,
218,44935,1,1.0,-1.0,,
219,45058,3,,,,
220,45573,3,,,,
221,45669,2,,8.0,-1.0,
222,45876,2,,-1.0,4.0,
223,46080,1,1.0,-1.0,,
224,46294,1,-1.0,9.0,,
225,46352,3,,,,
226,46518,1,-1.0,0.0,,
227,46680,2,,8.0,-1.0,
228,46700,1,-1.0,7.0,,
229,46831,1,-1.0,4.0,,
230,46843,2,,6.0,-1.0,
231,46941,3,,,,
232,47268,3,,,,
233,47637,2,,-1.0,5.0,
234,47770,1,1.0,-1.0,,
235,47868,1,-1.0,1.0,,
236,49037,3,,,,
237,49323,1,-1.0,7.0,,
238,49327,1,-1.0,0.0,,
239,49501,1,-1.0,7.0,,
240,49868,1,0.0,-1.0,,
241,49871,1,-1.0,6.0,,
242,50004,3,,,,
243,50238,1,-1.0,3.0,,
244,50412,3,,,,
245,50610,1,3.0,-1.0,,
246,50699,3,,,,
247,51443,2,,0.0,-1.0,
248,51755,2,,6.0,-1.0,
249,51805,3,,,,
250,51840,1,-1.0,3.0,,
251,52365,1,-1.0,6.0,,
252,53209,2,,8.0,-1.0,
253,53390,3,,,,
254,53416,2,,-1.0,5.0,
255,53501,2,,-1.0,7.0,
256,53735,3,,,,
257,53834,1,3.0,-1.0,,
258,53969,1,6.0,-1.0,,
259,54611,3,,,,
260,55031,3,,,,
261,55167,2,,4.0,-1.0,
262,55266,1,0.0,-1.0,,
263,55337,2,,5.0,-1.0,
264,55533,3,,,,
265,55616,3,,,,
266,55670,3,,,,
267,55917,3,,,,
268,55942,3,,,,
269,56211,2,,9.0,-1.0,
270,56475,2,,2.0,-1.0,
271,56596,1,0.0,-1.0,,
272,56749,1,5.0,-1.0,,
273,56852,2,,1.0,-1.0,
274,57246,1,-1.0,4.0,,
275,57316,3,,,,
276,57596,1,4.0,-1.0,,
277,57600,2,,-1.0,7.0,
278,57797,2,,6.0,-1.0,
279,58080,3,,,,
280,58217,1,-1.0,1.0,,
281,58531,3,,,,
282,58916,3,,,,
283,58924,2,,0.0,-1.0,
284,59046,3,,,,
285,59203,3,,,,
286,59335,2,,-1.0,9.0,
287,59348,1,2.0,-1.0,,
288,59745,2,,3.0,-1.0,
289,59884,3,,,,
290,59978,3,,,,
291,60048,2,,-1.0,1.0,
292,60732,2,,-1.0,5.0,
293,61070,3,,,,
294,61213,2,,3.0,-1.0,
295,61364,1,2.0,-1.0,,
296,61390,1,-1.0,8.0,,
297,61563,3,,,,
298,61734,3,,,,
299,61771,1,-1.0,5.0,,
300,61799,2,,-1.0,3.0,
301,62013,2,,2.0,-1.0,
302,62069,1,-1.0,5.0,,
303,62102,3,,,,
304,62214,3,,,,
305,62332,1,-1.0,3.0,,
306,63077,2,,9.0,-1.0,
307,63159,1,1.0,-1.0,,
308,63486,3,,,,
309,63490,2,,7.0,-1.0,
310,63531,2,,7.0,-1.0,
311,63586,3,,,,
312,63587,1,9.0,-1.0,,
313,63984,3,,,,
314,64104,1,-1.0,5.0,,
315,64296,3,,,,
316,64390,3,,,,
317,64546,3,,,,
318,64653,3,,,,
319,65177,3,,,,
320,65563,1,6.0,-1.0,,
321,65717,2,,1.0,-1.0,
322,65942,3,,,,
323,66572,2,,-1.0,3.0,
324,66577,3,,,,
325,67220,1,8.0,-1.0,,
326,67220,3,,,,
327,67267,1,-1.0,3.0,,
328,67439,1,-1.0,9.0,,
329,67606,3,,,,
330,67619,3,,,,
331,67666,3,,,,
332,67769,1,7.0,-1.0,,
333,67988,1,-1.0,0.0,,
334,68199,3,,,,
335,68238,2,,-1.0,3.0,
336,68366,1,8.0,-1.0,,
337,68427,1,4.0,-1.0,,
338,68455,3,,,,
339,68564,1,0.0,-1.0,,
340,68842,3,,,,
341,69107,3,,,,
342,69272,2,,7.0,-1.0,
343,69558,2,,2.0,-1.0,
344,69627,3,,,,
345,69796,3,,,,
346,70292,1,-1.0,4.0,,
347,70324,1,-1.0,6.0,,
348,70645,2,,-1.0,5.0,
349,70678,1,0.0,-1.0,,
350,70814,2,,8.0,-1.0,
351,71346,1,8.0,-1.0,,
352,71725,3,,,,
353,72701,1,0.0,-1.0,,
354,72794,3,,,,
355,73313,2,,3.0,-1.0,
356,73351,1,1.0,-1.0,,
357,73699,3,,,,
358,73735,3,,,,
359,74377,1,4.0,-1.0,,
360,74422,2,,-1.0,4.0,
361,74546,1,-1.0,5.0,,
362,74743,2,,3.0,-1.0,
363,74748,2,,-1.0,0.0,
364,74804,3,,,,
365,74936,1,-1.0,1.0,,
366,75327,3,,,,
367,75447,1,3.0,-1.0,,
368,75646,3,,,,
369,75820,3,,,,
370,75853,1,6.0,-1.0,,
371,75871,1,8.0,-1.0,,
372,76045,1,-1.0,4.0,,
373,76494,1,2.0,-1.0,,
374,76666,2,,-1.0,3.0,
375,76777,3,,,,
376,76845,1,4.0,-1.0,,
377,77225,1,6.0,-1.0,,
378,78019,2,,0.0,-1.0,
379,78152,3,,,,
380,78166,1,-1.0,3.0,,
381,78393,3,,,,
382,78743,1,-1.0,9.0,,
383,79003,3,,,,
384,79162,3,,,,
385,79307,2,,-1.0,5.0,
386,79834,3,,,,
387,80434,3,,,,
388,80858,1,7.0,-1.0,,
389,80995,1,1.0,-1.0,,
390,81386,3,,,,
391,81619,1,-1.0,7.0,,
392,81765,2,,-1.0,3.0,
393,81828,3,,,,
394,82267,3,,,,
395,82483,2,,-1.0,0.0,
396,82582,1,7.0,-1.0,,
397,82633,3,,,,
398,82665,1,-1.0,8.0,,
399,82686,1,-1.0,4.0,,
400,82712,3,,,,
401,82978,3,,,,
402,83025,3,,,,
403,83434,1,-1.0,4.0,,
404,83515,3,,,,
405,84031,2,,6.0,-1.0,
406,84031,3,,,,
407,84075,3,,,,
408,84341,2,,7.0,-1.0,
409,84483,1,9.0,-1.0,,
410,84748,3,,,,
411,85171,1,8.0,-1.0,,
412,85577,3,,,,
413,85698,1,2.0,-1.0,,
414,85799,2,,-1.0,3.0,
415,85838,1,5.0,-1.0,,
416,85957,3,,,,
417,86321,1,-1.0,7.0,,
418,86455,1,-1.0,3.0,,
419,86601,2,,-1.0,3.0,
420,87511,3,,,,
421,87818,2,,3.0,-1.0,
422,87990,2,,-1.0,4.0,
423,87998,2,,0.0,-1.0,
424,88457,1,-1.0,5.0,,
425,88533,2,,-1.0,4.0,
426,88771,1,0.0,-1.0,,
427,89215,2,,8.0,-1.0,
428,89427,3,,,,
429,89471,1,6.0,-1.0,,
430,89598,1,7.0,-1.0,,
431,89606,2,,-1.0,1.0,
432,89721,3,,,,
433,89763,2,,-1.0,7.0,
434,90047,3,,,,
435,90085,1,6.0,-1.0,,
436,90362,1,7.0,-1.0,,
437,90376,2,,-1.0,6.0,
438,90424,2,,-1.0,0.0,
439,90432,2,,7.0,-1.0,
440,90475,3,,,,
441,90504,2,,-1.0,6.0,
442,90519,1,-1.0,1.0,,
443,90849,1,-1.0,0.0,,
444,90902,1,0.0,-1.0,,
445,90930,2,,-1.0,9.0,
446,91572,2,,-1.0,8.0,
447,92508,3,,,,
448,92758,1,9.0,-1.0,,
449,92877,3,,,,
450,93002,1,4.0,-1.0,,
451,93008,1,0.0,-1.0,,
452,93088,1,9.0,-1.0,,
453,93234,3,,,,
454,93534,2,,-1.0,6.0,
455,93754,1,5.0,-1.0,,
456,93908,1,0.0,-1.0,,
457,94113,3,,,,
458,94218,2,,7.0,-1.0,
459,94681,1,-1.0,8.0,,
460,94871,3,,,,
461,94927,2,,-1.0,0.0,
462,94958,3,,,,
463,95451,3,,,,
464,95674,3,,,,
465,95714,2,,-1.0,9.0,
466,95894,2,,-1.0,8.0,
467,95954,1,4.0,-1.0,,
468,96089,1,-1.0,9.0,,
469,96175,2,,8.0,-1.0,
470,96221,2,,7.0,-1.0,
471,96681,1,4.0,-1.0,,
472,97180,1,8.0,-1.0,,
473,97521,1,2.0,-1.0,,
474,97650,2,,-1.0,2.0,
475,97650,3,,,,
476,98063,3,,,,
477,98267,2,,3.0,-1.0,
478,98337,2,,-1.0,6.0,
479,98411,2,,4.0,-1.0,
480,98848,3,,,,
481,99162,2,,-1.0,5.0,
482,99195,1,1.0,-1.0,,
483,99243,3,,,,
484,99285,1,3.0,-1.0,,
485,99772,2,,-1.0,7.0,
486,99942,1,-1.0,0.0,,
487,100019,1,0.0,-1.0,,
488,100328,3,,,,
489,100504,1,-1.0,3.0,,
490,100536,3,,,,
491,100816,1,-1.0,2.0,,
492,101379,1,-1.0,6.0,,
493,101401,1,-1.0,7.0,,
494,101848,1,8.0,-1.0,,
495,102169,1,3.0,-1.0,,
496,102171,1,2.0,-1.0,,
497,102240,1,-1.0,4.0,,
498,102637,1,9.0,-1.0,,
499,102827,1,-1.0,2.0,,
500,102929,3,,,,
501,103035,1,-1.0,4.0,,
502,103222,1,-1.0,3.0,,
503,103366,1,-1.0,1.0,,
504,103421,3,,,,
505,104006,2,,-1.0,7.0,
506,104197,1,-1.0,9.0,,
507,104550,3,,,,
508,104697,1,-1.0,6.0,,
509,104715,2,,3.0,-1.0,
510,104842,3,,,,
511,104857,2,,-1.0,6.0,
512,105017,2,,5.0,-1.0,
513,105322,2,,2.0,-1.0,
514,105563,3,,,,
515,105578,3,,,,
516,105579,3,,,,
517,105650,3,,,,
518,105768,1,6.0,-1.0,,
519,106025,2,,-1.0,1.0,
520,106186,3,,,,
521,106348,2,,-1.0,4.0,
522,107534,2,,1.0,-1.0,
523,107580,2,,1.0,-1.0,
524,107630,1,4.0,-1.0,,
525,107793,2,,6.0,-1.0,
526,107948,1,7.0,-1.0,,
527,107964,1,4.0,-1.0,,
528,107999,1,-1.0,0.0,,
529,108176,2,,4.0,-1.0,
530,108567,2,,-1.0,5.0,
531,108719,1,5.0,-1.0,,
532,108725,1,-1.0,9.0,,
533,109035,2,,0.0,-1.0,
534,109057,2,,7.0,-1.0,
535,109261,3,,,,
536,109507,2,,6.0,-1.0,
537,109733,1,6.0,-1.0,,
538,109834,2,,1.0,-1.0,
539,109969,2,,9.0,-1.0,
540,110279,1,2.0,-1.0,,
541,110301,3,,,,
542,110460,2,,-1.0,3.0,
543,110500,1,2.0,-1.0,,
544,110636,2,,-1.0,5.0,
545,110896,3,,,,
546,111366,1,-1.0,7.0,,
547,111558,1,-1.0,4.0,,
548,111805,3,,,,
549,111911,1,-1.0,6.0,,
550,112106,2,,-1.0,8.0,
551,112148,3,,,,
552,112264,1,6.0,-1.0,,
553,113077,2,,-1.0,7.0,
554,113313,3,,,,
555,113785,1,1.0,-1.0,,
556,113793,2,,3.0,-1.0,
557,113848,3,,,,
558,113902,2,,-1.0,6.0,
559,113967,3,,,,
560,114043,1,-1.0,5.0,,
561,114136,3,,,,
562,114650,1,3.0,-1.0,,
563,115465,1,-1.0,4.0,,
564,115515,2,,8.0,-1.0,
565,115772,3,,,,
566,115794,2,,7.0,-1.0,
567,115881,1,-1.0,3.0,,
568,116093,1,0.0,-1.0,,
569,116166,2,,-1.0,1.0,
570,116455,2,,7.0,-1.0,
571,116529,1,4.0,-1.0,,
572,116659,2,,-1.0,9.0,
573,117229,2,,-1.0,2.0,
574,117337,1,9.0,-1.0,,
575,117361,3,,,,
576,117610,1,9.0,-1.0,,
577,117665,3,,,,
578,118379,1,5.0,-1.0,,
579,118569,3,,,,
580,118789,1,5.0,-1.0,,
581,118948,3,,,,
582,119093,2,,-1.0,3.0,
583,119599,1,-1.0,4.0,,
584,119639,3,,,,
585,119765,1,0.0,-1.0,,
586,119768,1,-1.0,0.0,,
587,119812,3,,,,
588,119946,1,-1.0,8.0,,
589,120524,1,-1.0,3.0,,
590,121011,2,,-1.0,9.0,
591,121089,2,,-1.0,7.0,
592,121546,1,-1.0,0.0,,
593,121603,3,,,,
594,121941,3,,,,
595,122348,2,,9.0,-1.0,
596,122858,1,-1.0,6.0,,
597,122965,1,4.0,-1.0,,
598,122989,2,,4.0,-1.0,
599,123225,2,,8.0,-1.0,
600,123365,3,,,,
601,123837,1,8.0,-1.0,,
602,124126,3,,,,
603,124406,3,,,,
604,124981,1,-1.0,5.0,,
605,125206,2,,-1.0,7.0,
606,125340,2,,-1.0,2.0,
607,125855,1,4.0,-1.0,,
608,125972,2,,-1.0,6.0,
609,126665,1,5.0,-1.0,,
610,126672,3,,,,
611,126749,1,-1.0,1.0,,
612,126853,2,,0.0,-1.0,
613,127025,3,,,,
614,127180,3,,,,
615,127330,1,-1.0,3.0,,
616,127810,3,,,,
617,128261,1,-1.0,6.0,,
618,128274,1,0.0,-1.0,,
619,128610,2,,8.0,-1.0,
620,128649,2,,4.0,-1.0,
621,129430,1,-1.0,3.0,,
622,129615,2,,-1.0,2.0,
623,129796,1,-1.0,9.0,,
624,129853,1,-1.0,5.0,,
625,131444,2,,0.0,-1.0,
626,131473,2,,-1.0,1.0,
627,131685,2,,-1.0,9.0,
628,131756,3,,,,
629,131847,2,,-1.0,7.0,
630,132005,1,-1.0,5.0,,
631,132174,2,,6.0,-1.0,
632,132293,1,-1.0,6.0,,
633,132430,1,-1.0,5.0,,
634,132446,2,,7.0,-1.0,
635,132528,3,,,,
636,132644,1,0.0,-1.0,,
637,132652,3,,,,
638,132675,2,,9.0,-1.0,
639,132900,2,,3.0,-1.0,
640,133111,3,,,,
641,133816,3,,,,
642,133937,2,,4.0,-1.0,
643,134322,1,-1.0,2.0,,
644,134541,2,,-1.0,6.0,
645,134692,1,3.0,-1.0,,
646,134928,2,,-1.0,6.0,
647,135195,3,,,,
648,135419,1,-1.0,4.0,,
649,135720,2,,-1.0,9.0,
650,136170,2,,7.0,-1.0,
651,136221,3,,,,
652,136246,3,,,,
653,136455,2,,8.0,-1.0,
654,136484,2,,-1.0,6.0,
655,136495,2,,-1.0,8.0,
656,136610,2,,-1.0,2.0,
657,136867,3,,,,
658,136880,3,,,,
659,137098,3,,,,
660,137184,2,,8.0,-1.0,
661,137259,1,2.0,-1.0,,
662,137355,3,,,,
663,137797,2,,3.0,-1.0,
664,138010,1,1.0,-1.0,,
665,138066,2,,1.0,-1.0,
666,138148,2,,-1.0,1.0,
667,138210,1,9.0,-1.0,,
668,138292,2,,8.0,-1.0,
669,138304,1,-1.0,6.0,,
670,138484,3,,,,
671,138719,2,,7.0,-1.0,
672,138998,1,4.0,-1.0,,
673,139163,1,-1.0,8.0,,
674,139515,3,,,,
675,139753,1,9.0,-1.0,,
676,140288,2,,-1.0,2.0,
677,140440,1,-1.0,8.0,,
678,140518,1,-1.0,6.0,,
679,140559,3,,,,
680,140713,3,,,,
681,140826,1,-1.0,7.0,,
682,140919,2,,-1.0,9.0,
683,140998,2,,6.0,-1.0,
684,141034,2,,6.0,-1.0,
685,141095,2,,-1.0,4.0,
686,141366,2,,-1.0,8.0,
687,141694,1,6.0,-1.0,,
688,141953,3,,,,
689,142086,3,,,,
690,142314,3,,,,
691,142521,2,,-1.0,1.0,
692,142778,2,,3.0,-1.0,
693,142895,1,0.0,2.0,,
694,143240,2,,2.0,-1.0,
695,143261,1,-1.0,3.0,,
696,143794,1,-1.0,2.0,,
697,143937,3,,,,
698,144057,1,3.0,-1.0,,
699,144365,1,3.0,-1.0,,
700,144606,3,,,,
701,144720,1,6.0,-1.0,,
702,144960,2,,9.0,-1.0,
703,145223,3,,,,
704,145324,2,,-1.0,8.0,
705,145628,2,,-1.0,2.0,
706,146106,1,-1.0,5.0,,
707,146111,2,,-1.0,3.0,
708,146146,3,,,,
709,146179,1,4.0,-1.0,,
710,146218,2,,-1.0,2.0,
711,146320,3,,,,
712,146432,1,7.0,-1.0,,
713,146504,2,,6.0,-1.0,
714,146525,2,,-1.0,6.0,
715,146761,1,1.0,-1.0,,
716,147429,2,,-1.0,6.0,
717,147515,3,,,,
718,147716,2,,9.0,-1.0,
719,147910,1,-1.0,0.0,,
720,147963,2,,-1.0,4.0,
721,148275,1,-1.0,7.0,,
722,148621,2,,7.0,-1.0,
723,148652,1,3.0,-1.0,,
724,148701,2,,6.0,-1.0,
725,149178,3,,,,
726,149529,2,,-1.0,1.0,
727,149650,2,,5.0,-1.0,
728,149708,1,-1.0,2.0,,
729,149827,2,,-1.0,6.0,
730,150163,2,,2.0,-1.0,
731,150446,3,,,,
732,150933,1,-1.0,5.0,,
733,151044,3,,,,
734,151310,3,,,,
735,151529,2,,-1.0,7.0,
736,151845,2,,5.0,-1.0,
737,152229,1,3.0,-1.0,,
738,152759,3,,,,
739,152974,3,,,,
740,153092,2,,0.0,-1.0,
741,153179,1,0.0,-1.0,,
742,153554,1,-1.0,8.0,,
743,153557,1,-1.0,2.0,,
744,153579,2,,4.0,-1.0,
745,153605,2,,-1.0,8.0,
746,153671,2,,2.0,-1.0,
747,154035,3,,,,
748,154122,1,3.0,-1.0,,
749,154195,2,,-1.0,6.0,
750,154492,2,,5.0,-1.0,
751,154560,2,,6.0,-1.0,
752,154652,3,,,,
753,155085,3,,,,
754,155666,1,6.0,-1.0,,
755,155785,3,,,,
756,155853,3,,,,
757,156026,3,,,,
758,156065,2,,9.0,-1.0,
759,156065,3,,,,
760,157688,1,1.0,-1.0,,
761,157794,3,,,,
762,157936,3,,,,
763,158000,1,8.0,-1.0,,
764,158077,1,-1.0,7.0,,
765,158194,2,,-1.0,3.0,
766,158313,3,,,,
767,158480,1,8.0,-1.0,,
768,158814,2,,-1.0,2.0,
769,158816,2,,-1.0,3.0,
770,158980,2,,-1.0,2.0,
771,159012,2,,1.0,-1.0,
772,159313,2,,6.0,-1.0,
773,159383,2,,-1.0,6.0,
774,159462,2,,4.0,-1.0,
775,159750,2,,-1.0,6.0,
776,159766,3,,,,
777,160277,3,,,,
778,160582,3,,,,
779,160852,2,,-1.0,0.0,
780,161276,3,,,,
781,161757,2,,9.0,-1.0,
782,161957,3,,,,
783,162256,3,,,,
784,162342,2,,-1.0,3.0,
785,162499,1,-1.0,6.0,,
786,162606,2,,-1.0,7.0,
787,162776,1,-1.0,9.0,,
788,162792,3,,,,
789,162876,1,-1.0,0.0,,
790,162983,1,-1.0,0.0,,
791,162991,2,,-1.0,4.0,
792,163080,3,,,,
793,163167,2,,-1.0,8.0,
794,163403,1,-1.0,9.0,,
795,163409,1,-1.0,1.0,,
796,163475,2,,6.0,-1.0,
797,163526,3,,,,
798,164210,2,,4.0,-1.0,
799,164260,2,,0.0,-1.0,
800,164660,3,,,,
801,164786,1,0.0,-1.0,,
802,165116,2,,5.0,-1.0,
803,165157,2,,-1.0,6.0,
804,165643,1,-1.0,8.0,,
805,165662,3,,,,
806,165704,1,-1.0,5.0,,
807,165961,3,,,,
808,165975,1,0.0,-1.0,,
809,165986,3,,,,
810,165995,2,,9.0,-1.0,
811,166208,1,3.0,-1.0,,
812,166352,1,5.0,-1.0,,
813,166409,2,,8.0,-1.0,
814,166438,1,-1.0,9.0,,
815,166601,1,7.0,-1.0,,
816,166618,3,,,,
817,166767,2,,7.0,-1.0,
818,167101,3,,,,
819,167352,2,,4.0,-1.0,
820,167394,2,,-1.0,2.0,
821,167487,2,,-1.0,9.0,
822,168137,3,,,,
823,168865,1,-1.0,0.0,,
824,169146,1,0.0,-1.0,,
825,169263,2,,0.0,-1.0,
826,169649,3,,,,
827,169678,1,9.0,-1.0,,
828,169746,1,4.0,-1.0,,
829,170362,3,,,,
830,170400,3,,,,
831,170454,3,,,,
832,171047,3,,,,
833,171272,2,,0.0,-1.0,
834,171301,3,,,,
835,171487,3,,,,
836,171613,2,,3.0,-1.0,
837,171812,1,0.0,-1.0,,
838,172147,1,-1.0,9.0,,
839,172223,3,,,,
840,172456,2,,1.0,-1.0,
841,172728,2,,-1.0,4.0,
842,172840,2,,-1.0,4.0,
843,173416,1,-1.0,6.0,,
844,174027,2,,-1.0,0.0,
845,174059,3,,,,
846,174065,3,,,,
847,174220,3,,,,
848,174264,1,-1.0,4.0,,
849,174477,1,9.0,-1.0,,
850,174556,1,4.0,-1.0,,
851,174723,2,,9.0,-1.0,
852,174742,1,-1.0,5.0,,
853,174864,1,3.0,-1.0,,
854,174977,1,-1.0,5.0,,
855,175158,1,1.0,-1.0,,
856,175246,1,4.0,-1.0,,
857,175277,1,-1.0,3.0,,
858,175280,3,,,,
859,175472,3,,,,
860,175494,1,0.0,-1.0,,
861,175951,1,1.0,-1.0,,
862,176091,1,3.0,-1.0,,
863,176160,1,-1.0,4.0,,
864,176570,2,,8.0,-1.0,
865,176590,1,0.0,-1.0,,
866,177114,3,,,,
867,177553,3,,,,
868,177605,2,,0.0,-1.0,
869,177943,1,6.0,-1.0,,
870,178024,3,,,,
871,178045,3,,,,
872,178188,2,,0.0,-1.0,
873,178475,2,,-1.0,2.0,
874,178505,2,,-1.0,7.0,
875,178518,3,,,,
876,178611,1,-1.0,6.0,,
877,178891,1,-1.0,5.0,,
878,178961,1,2.0,-1.0,,
